CA Accuracy (%),CA-RFA Accuracy (%)
77.51249999999999,80.4825
83.175,81.2175
78.23750000000001,78.42750000000001
81.2175,73.8775
83.1975,76.69
83.33,84.0675
79.0725,82.11749999999999
79.00500000000001,80.815
82.30499999999999,83.0225
77.775,82.1225
83.26750000000001,85.0325
80.0475,86.53999999999999
83.5725,75.2675
81.99,83.5475
78.56,81.23
81.545,73.64500000000001
81.2975,85.52250000000001
82.6925,82.245
83.1925,82.2175
82.2675,76.85
82.565,84.93
83.3475,80.155
83.39,76.9675
81.175,82.99
83.175,81.6575
80.0025,82.0
81.2125,78.645
80.9675,77.725
81.955,76.22250000000001
83.3125,81.2025
83.395,84.3475
83.255,77.535
77.78,83.1925
82.865,80.705
83.455,84.855
82.825,81.7325
83.04249999999999,82.31
78.73,72.44749999999999
77.3825,82.185
79.3275,75.11
82.195,75.7525
83.2775,75.02250000000001
80.0075,80.9
83.1825,83.935
78.28,81.6125
82.49499999999999,81.3275
77.63,73.465
81.5475,78.58000000000001
83.21,77.8625
82.1875,80.9425
82.5525,74.92
83.1625,83.7925
81.31,85.5875
83.365,82.3775
78.7225,82.19
83.2175,82.0625
83.145,81.21000000000001
77.60000000000001,81.925
77.995,81.6475
83.2575,81.2325
77.75750000000001,83.025
79.9975,84.5975
79.09,84.5425
83.28750000000001,82.705
80.9925,75.1925
82.2125,80.935
77.52,76.5025
78.52,79.5125
78.10000000000001,82.1375
78.36999999999999,82.435
83.47250000000001,74.8525
77.5625,77.64999999999999
78.69500000000001,83.2025
77.5975,82.30499999999999
77.64,77.255
83.1125,81.78
80.9425,77.2725
82.0825,80.675
80.8575,82.27499999999999
83.2075,77.3575
79.4775,77.2525
80.54,78.415
81.0825,82.89750000000001
82.4425,82.96
77.7925,81.125
78.615,76.7
78.16,81.27499999999999
79.66,74.83
80.4475,86.63250000000001
82.8225,78.2725
83.22500000000001,82.87
82.67999999999999,74.2
77.5475,76.0025
78.705,83.2825
77.6625,84.96000000000001
82.14,80.77499999999999
82.7325,78.69
83.3125,76.14
83.5,84.66
77.495,82.3775
77.44,81.11
83.27898652573977,81.35201739097843
